Provincias;Sexo;Periodo;Total
17 Girona;Mujeres;2023;3,932
17 Girona;Mujeres;2022;4,51
17 Girona;Mujeres;2021;3,82
18 Granada;Total;2023;11,207
18 Granada;Total;2022;13,01
18 Granada;Total;2021;10,491
18 Granada;Hombres;2023;17,334
18 Granada;Hombres;2022;20,493
18 Granada;Hombres;2021;15,564
18 Granada;Mujeres;2023;5,259
18 Granada;Mujeres;2022;5,728
18 Granada;Mujeres;2021;5,55
19 Guadalajara;Total;2023;6,483
19 Guadalajara;Total;2022;8,096
19 Guadalajara;Total;2021;4,869
19 Guadalajara;Hombres;2023;12,791
19 Guadalajara;Hombres;2022;10,888
19 Guadalajara;Hombres;2021;8,12
19 Guadalajara;Mujeres;2023;0
19 Guadalajara;Mujeres;2022;5,225
19 Guadalajara;Mujeres;2021;1,52
20 Gipuzkoa;Total;2023;7,553
20 Gipuzkoa;Total;2022;7,173
20 Gipuzkoa;Total;2021;6,777
20 Gipuzkoa;Hombres;2023;12,939
20 Gipuzkoa;Hombres;2022;10,168
20 Gipuzkoa;Hombres;2021;11,323
20 Gipuzkoa;Mujeres;2023;2,415
20 Gipuzkoa;Mujeres;2022;4,313
20 Gipuzkoa;Mujeres;2021;2,434
21 Huelva;Total;2023;8,039
21 Huelva;Total;2022;9,576
21 Huelva;Total;2021;8,494
21 Huelva;Hombres;2023;13,191
21 Huelva;Hombres;2022;16,275
21 Huelva;Hombres;2021;15,228
21 Huelva;Mujeres;2023;2,968
21 Huelva;Mujeres;2022;2,981
21 Huelva;Mujeres;2021;1,872
22 Huesca;Total;2023;9,662
22 Huesca;Total;2022;8,848
22 Huesca;Total;2021;10,688
22 Huesca;Hombres;2023;16,455
22 Huesca;Hombres;2022;13,96
22 Huesca;Hombres;2021;14,93
22 Huesca;Mujeres;2023;2,673
22 Huesca;Mujeres;2022;3,59
22 Huesca;Mujeres;2021;6,325
23 Jaén;Total;2023;10,325
23 Jaén;Total;2022;11,729
23 Jaén;Total;2021;13,269
23 Jaén;Hombres;2023;16,29
23 Jaén;Hombres;2022;19,457
23 Jaén;Hombres;2021;23,867
23 Jaén;Mujeres;2023;4,474
23 Jaén;Mujeres;2022;4,14
23 Jaén;Mujeres;2021;2,853
24 León;Total;2023;10,71
24 León;Total;2022;9,133
24 León;Total;2021;10,655
24 León;Hombres;2023;17,437
24 León;Hombres;2022;12,372
24 León;Hombres;2021;12,327
24 León;Mujeres;2023;4,343
24 León;Mujeres;2022;6,069
24 León;Mujeres;2021;9,074
25 Lleida;Total;2023;6,896
25 Lleida;Total;2022;6,53
25 Lleida;Total;2021;8,197
25 Lleida;Hombres;2023;10,444
25 Lleida;Hombres;2022;9,258
25 Lleida;Hombres;2021;11,607
25 Lleida;Mujeres;2023;3,186
25 Lleida;Mujeres;2022;3,682
25 Lleida;Mujeres;2021;4,648
26 Rioja, La;Total;2023;9,281
26 Rioja, La;Total;2022;9,347
26 Rioja, La;Total;2021;7,511
26 Rioja, La;Hombres;2023;11,281
26 Rioja, La;Hombres;2022;13,879
26 Rioja, La;Hombres;2021;11,412
26 Rioja, La;Mujeres;2023;7,332
26 Rioja, La;Mujeres;2022;4,925
26 Rioja, La;Mujeres;2021;3,709
27 Lugo;Total;2023;16,017
27 Lugo;Total;2022;15,42
27 Lugo;Total;2021;15,71
27 Lugo;Hombres;2023;26,028
27 Lugo;Hombres;2022;21,622
27 Lugo;Hombres;2021;22,237
27 Lugo;Mujeres;2023;6,582
27 Lugo;Mujeres;2022;9,58
27 Lugo;Mujeres;2021;9,567
28 Madrid;Total;2023;6,023
28 Madrid;Total;2022;5,92
28 Madrid;Total;2021;5,183
28 Madrid;Hombres;2023;8,398
28 Madrid;Hombres;2022;8,286
28 Madrid;Hombres;2021;7,865
28 Madrid;Mujeres;2023;3,841
28 Madrid;Mujeres;2022;3,748
28 Madrid;Mujeres;2021;2,716
29 Málaga;Total;2023;9,242
29 Málaga;Total;2022;10,381
29 Málaga;Total;2021;10,964
29 Málaga;Hombres;2023;13,57
29 Málaga;Hombres;2022;16,497
29 Málaga;Hombres;2021;16,397
29 Málaga;Mujeres;2023;5,102
29 Málaga;Mujeres;2022;4,518
29 Málaga;Mujeres;2021;5,746
30 Murcia;Total;2023;7,564
30 Murcia;Total;2022;8,892
30 Murcia;Total;2021;8,076
30 Murcia;Hombres;2023;11,382
30 Murcia;Hombres;2022;13,852
30 Murcia;Hombres;2021;12,31
30 Murcia;Mujeres;2023;3,727
30 Murcia;Mujeres;2022;3,905
30 Murcia;Mujeres;2021;3,818
31 Navarra;Total;2023;9,626
31 Navarra;Total;2022;8,529
31 Navarra;Total;2021;9,077
31 Navarra;Hombres;2023;13,463
31 Navarra;Hombres;2022;11,487
31 Navarra;Hombres;2021;11,608
31 Navarra;Mujeres;2023;5,865
31 Navarra;Mujeres;2022;5,629
31 Navarra;Mujeres;2021;6,594
32 Ourense;Total;2023;9,195
32 Ourense;Total;2022;11,827
32 Ourense;Total;2021;10,521
32 Ourense;Hombres;2023;15,729
32 Ourense;Hombres;2022;18,469
32 Ourense;Hombres;2021;14,376
32 Ourense;Mujeres;2023;3,159
32 Ourense;Mujeres;2022;5,689
